PessoaFJ,Grupo,Família,Tipo,Objeto
Física,Produtos,Aerograma,Aerograma-Social,Aerograma-Social
Física,Produtos,AR,Convencional,Aviso-de-Recebimento-Convencional
Física,Produtos,AR,Digital,Aviso-de-Recebimento-Digital
Física,infraestrutura,aplicativos,Aplicativos-Correios,Aplicativos-Correios
Física,Produtos,AR,Digital,AR-digital
Física,Produtos,AR,Convencional,AR-convencional
Física,Financeiro,Bancário,Aporte-e-Saque,Aporte-e-Saque
Física,Telefonia,Atendimento,presencial,Atendimento-Presencial–Telefónica
Física,Entrega,restrições,Domiciliar,áreas-com-restrição-de-entrega-domiciliar
Física,Postagem,Postagem,Postagem,Postagem
Física,Serviço,Achados-e-Perdidos,Achados-e-Perdidos,Achados-e-Perdidos
Física,Terceiros,Terceiros,Terceiros,Terceiros
