Serviço,Pergunta,Resposta
Aerograma-Social,Aerograma Social,É um produto exclusivo dos Correios; constituído de papel de carta; envelope e selo em uma só peça.
Aerograma-Social,Atalho,http://www.correios.com.br/a-a-z/aerograma-social
Aerograma-Social,Disponibilidade do serviço,Em todo o território nacional
Aerograma-Social,Quem pode usar,Pessoas físicas (pagamento à vista) e jurídicas (pagamento à vista ou a faturar).
Aerograma-Social,Como funciona,Onde enviar:Em todas as agências dos Correios ou caixa de coleta
Aerograma-Social,Características,Formas de Apresentação: Avulso. Temas de Aerogramas Comemorativos:- Aniversário.- Dia das Crianças; Namorados; Mães; Pais.- Comemorações diversas.- Natal.
Aerograma-Social,Por que usar este serviço?,- É um produto pré-pago;- Válido em qualquer época; mesmo que ocorra reajuste tarifário;- Reúne papel de carta; envelope e selo em uma só peça.
Aerograma-Social,Onde comprar e postar,Compre aerogramas internacionais nas agências dos Correios ou na loja eletrônica dos Correios.Poste em todas as agências dos Correios ou em qualquer caixa de coleta dos Correios.
Aerograma-Social,Quanto custa,Veja o preço do Aerograma Social.
Aerograma-Social,Como pagar,Formas de pagamento na loja eletrônica dos Correios:- Boleto bancário;- Cartão de crédito;- Cartão de postagem dos Correios (disponível apenas para clientes pessoa jurídica mediante contrato*) Nas agências dos correios:- Dinheiro em espécie;- Cartão de crédito;- Cartão de débito;- Cartão de postagem dos Correios (disponível apenas para clientes pessoa jurídica mediante contrato*)- Cheque da própria praça e do próprio interessado; nominativo à ECT ou à Empresa Brasileira de Correios e Telégrafos.  Conheça as condições para pagamento com cheque.
Aerograma-Social,Limite de peso:,- 20g.- Será permitida a inclusão de folha suplementar no interior do Aerograma Social; desde que o peso não ultrapasse o limite de 20 g e somente quando destinado ao Brasil;- Quando o limite de 20g for ultrapassado; será cobrada a diferença;- A diferença será calculada entre o 1º porte da carta comercial simples e o porte referente ao peso real do Aerograma;- Caso não seja possível a cobrança da diferença no ato da postagem; será tratado como insuficientemente franqueado;- No caso de Aerograma insuficientemente franqueado; será cobrado do destinatário; no ato do recebimento; o valor correspondente à diferença entre duas vezes o valor real e o valor efetivamente pago pelo remetente.
Aplicativos-Correios,Aplicativos dos Correios,Para dar mais comodidade aos seus clientes; os Correios disponibilizam aplicativos para smartphone com as funcionalidades mais utilizadas pelos seus clientes quando acessam os Correios pela internet.
Aplicativos-Correios,atalho,Para saber mais sobre os Aplicativos dos Correios acesse: http://www.correios.com.br/ferramentas/aplicativos-correios/
Aporte-e-Saque,Aporte e Saque,Serviço de atendimento ao usuário para realizar transações de aporte (depósito) e saque; por meio de uma conta digital; administrada por empresas financeiras. Normalmente; essa conta digital é movimentada apenas por meio eletrônico; como celular e computador. Porém; nos Correios; você tem a vantagem de realizar transações em dinheiro; nas nossas agências; de maneira prática e sem burocracia.
Aporte-e-Saque,Disponibilidade do serviço:,Disponível em todas as agências próprias (AC). Consulte a agência mais próxima.
Aporte-e-Saque,Quem pode usar:,Clientes da Empresa Surf Pay que possuam conta digital.
Aporte-e-Saque,Como funciona:,Faça Aporte (depósito) na sua conta ou na conta de terceiros:Identifique-se com o seu CPF; informe o CPF do beneficiário ou o número do Correios Celular (caso não seja você o beneficiário do depósito) e entregue o dinheiro (limite de R$ 500;00 -quinhentos reais - por beneficiário/dia). O dinheiro ficará disponível na conta do cliente no próximo dia útil.
Aporte-e-Saque,Saque dinheiro:,Dirija-se a uma agência dos Correios levando um documento oficial de identificação com foto e CPF; portando o código da transação gerado no aplicativo e saque seu dinheiro. (Limite de R$ 500 reais por dia/CPF).
